Particle List (1st event only)
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
1	system	-11	90	0	0	0	0	2265.5	2265.5
2	197Au	-12	1000791970	0	0	0	1117.79	1132.75	183.473
3	197Au	-12	1000791970	0	0	0	-1117.79	1132.75	183.473
4	n0	-13	2112	1	0	0	5.67272	5.75	0.93957
5	n0	-13	2112	2	0	0	-5.67272	5.75	0.93957
6	u	-21	2	13	0	0	3.38716	3.38716	0
7	g	-21	21	14	0	0	-1.42624	1.42624	0
8	u	-23	2	5	0.953674	-0.524696	3.06121	3.26568	0.33
9	g	-23	21	5	-0.953674	0.524696	-1.10029	1.54772	0
10	u	-31	2	17	0	0	0.557624	0.557624	0
11	g	-31	21	18	0	0	-0.299015	0.299015	0
12	u	-33	2	9	0.057059	-0.291273	0.327926	0.551843	0.33
13	g	-33	21	9	-0.057059	0.291273	-0.069317	0.304796	0
14	u	-61	2	3	-1.53342	-0.516118	3.30286	3.67786	0
15	g	-61	21	4	0.332903	0.201183	-1.26528	1.32372	0
16	u	-62	2	7	-0.492404	-1.00932	3.23882	3.44384	0.33
17	g	-62	21	8	-0.70811	0.694383	-1.20124	1.55774	0
18	u	-61	2	3	0.25999	0.326264	0.461259	0.621935	0
19	g	-61	21	4	-0.310633	0.211145	-0.151266	0.404915	0
20	u	-62	2	11	0.142412	-0.0149608	0.251227	0.438771	0.33
21	g	-62	21	12	-0.193056	0.55237	0.0587663	0.588078	0
22	dd_1	-63	1103	3	0.471063	-0.235979	0.0560569	0.935777	0.77133
23	ubar	-63	-2	3	1.33872	-0.138316	-0.312991	1.42062	0.33
24	ud_0	-63	2101	4	-0.191404	-0.0846663	-0.955566	1.1369	0.57933
25	d	-63	1	4	0.169134	-0.327662	-2.19004	2.24525	0.33
26	p+	-13	2212	2	0	0	-5.67293	5.75	0.93827
27	p_diffr+	-15	9902210	25	-0.27841	0.482459	-4.95512	5.70133	2.76437
28	u	-24	2	26	-0.297367	0.507022	0.031539	0.672397	0.325
